OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SYNCOM 2 (A 26),1963-031A,2025-03-08T19:24:03.548160,1.00293413,.0007373,30.9775,307.0020,196.1384,35.4389,0,U,634,999,22569,0,-.138E-5,0
SYNCOM 3,1964-047A,2025-03-07T21:25:00.446592,1.00335132,.0003154,5.8229,69.1619,176.6427,204.7549,0,U,858,999,18406,0,-.257E-5,0
INTELSAT 1-F1,1965-028A,2025-03-03T07:36:33.386112,1.00317546,.0004845,6.0072,68.3977,148.7230,1.1948,0,U,1317,999,12245,0,-.29E-5,0
ATS 1,1966-110A,2025-03-10T20:28:26.827392,1.00329586,.0005984,3.8095,74.1269,181.2129,227.6075,0,U,2608,999,13015,0,.41E-6,0
INTELSAT 2-F2,1967-001A,2025-03-10T20:06:18.328032,1.00156521,.000743,2.0601,81.9371,200.3473,236.2638,0,U,2639,999,11460,0,.116E-5,0
INTELSAT 2-F3,1967-026A,2025-03-10T14:41:50.478720,1.00269334,.0018922,2.9331,70.0959,218.0512,92.9910,0,U,2717,999,11924,0,-.83E-6,0
INTELSAT 2-F4,1967-094A,2025-03-10T15:39:30.959424,1.00237258,.0010248,2.8928,78.8072,138.3313,20.6808,0,U,2969,999,11066,0,.101E-5,0
ATS 3,1967-111A,2025-03-10T14:13:56.538336,1.00271425,.0015916,1.9821,83.6478,19.7708,173.3918,0,U,3029,999,20998,0,-.105E-5,0
LES-6,1968-081D,2025-03-10T10:55:14.640384,1.00205625,.0009648,1.0566,357.4620,336.5160,277.7998,0,U,3431,999,11613,0,-.239E-5,0
OPS 0757 (TACSAT),1969-013A,2025-03-10T20:23:37.855680,1.00435465,.0020035,1.6724,76.3393,173.3098,333.8391,0,U,3691,999,10945,0,-.375E-5,0
SKYNET 1A,1969-101A,2025-03-10T12:30:34.564896,1.00273818,.0023854,0.7650,274.5203,321.0702,13.4804,0,U,4250,999,12986,0,-.94E-6,0
NATO 2A,1970-021A,2025-03-10T12:30:57.084192,1.00262069,.0001833,1.5407,284.5086,316.7254,9.4596,0,U,4353,999,12111,0,-.104E-5,0
INTELSAT 3-F7,1970-032A,2025-03-10T19:20:56.609664,1.00294159,.0004006,1.2350,100.1340,217.2134,143.6115,0,U,4376,999,4271,0,-.1E-7,0
ATLAS AGENA D R/B,1970-046B,2025-03-10T16:28:01.135200,1.00422843,.0031,0.4992,94.2072,289.5558,336.3448,0,U,4511,999,2089,0,-.301E-5,0
NATO 2B,1971-009A,2025-03-10T14:13:49.031040,1.00271347,.000224,2.3198,263.5640,202.7322,170.0658,0,U,4902,999,11399,0,-.104E-5,0
OPS 9431 (DSCS 2-1),1971-095A,2025-03-10T14:12:11.447424,1.00276834,.0004711,2.7776,266.6658,358.6235,5.1605,0,U,5587,999,11737,0,-.7E-6,0
OPS 9432 (DSCS 2-2),1971-095B,2025-03-10T19:57:21.638880,1.00370784,.000427,2.7425,267.6198,65.1426,245.9840,0,U,5588,999,4271,0,-.378E-5,0
INTELSAT 4-F4,1972-003A,2025-03-10T10:25:00.943680,0.99839228,.0002383,7.8351,298.3609,112.6957,87.2206,0,U,5775,999,13276,0,-.104E-5,0
OPS 1570 (DSP 3),1972-010A,2025-03-10T14:20:41.887392,0.99772371,.0009594,0.8133,265.1593,17.6326,19.3207,0,U,5851,999,2130,0,-.176E-5,0
INTELSAT 4-F5,1972-041A,2025-03-10T02:13:45.038496,1.00089046,.0002566,6.8718,291.4159,298.8358,61.0424,0,U,6052,999,4201,0,-.21E-5,0
OPS 6063,1973-013A,2025-03-10T20:36:38.655936,1.00268897,.0013789,1.5244,266.0127,254.5208,31.2497,0,U,6380,999,2177,0,-.94E-6,0
ANIK A2 (TELESAT 2),1973-023A,2025-03-10T15:08:29.354784,0.99790203,.0011403,8.0075,299.7519,63.4319,118.0846,0,U,6437,999,4252,0,-.108E-5,0
OPS 6157 (DSP 4),1973-040A,2025-03-10T20:03:10.666368,0.99818709,.0007758,1.9696,253.9257,38.3180,214.6606,0,U,6691,999,2131,0,.116E-5,0
WESTAR 1,1974-022A,2025-03-09T03:55:32.786688,0.99890110,.0005561,8.1661,301.6949,32.7726,141.5930,0,U,7250,999,11768,0,-.25E-6,0
MOLNIYA 1-S,1974-060A,2025-03-10T20:12:38.729952,1.00234813,.0008023,2.5575,265.1307,255.8660,357.1965,0,U,7392,999,12952,0,.115E-5,0
WESTAR 2,1974-075A,2025-03-10T10:24:30.917952,0.99863466,.0002627,8.2987,303.2687,204.2713,348.8166,0,U,7466,999,13302,0,-.115E-5,0
INTELSAT 4-F8,1974-093A,2025-03-10T11:08:30.325632,0.99792011,.0002832,8.9556,307.9133,188.2346,165.3766,0,U,7544,999,12057,0,-.288E-5,0
SKYNET 2B,1974-094A,2025-03-10T19:52:25.110624,1.00268659,.0001652,4.7405,285.0642,171.6577,9.7012,0,U,7547,999,12011,0,-.3E-6,0
SYMPHONIE 1,1974-101A,2025-03-10T15:11:06.990720,0.99943479,.0003025,5.7630,282.8137,29.6497,178.8616,0,U,7578,999,11256,0,-.225E-5,0
ANIK A3 (TELESAT 3),1975-038A,2025-03-10T19:52:40.124352,1.00063366,.0001394,8.7014,306.2196,43.5974,117.2485,0,U,7790,999,12532,0,-.66E-6,0
SYMPHONIE 2,1975-077A,2025-03-10T14:11:33.915264,0.99960814,.0005668,5.2325,280.6301,39.0877,308.2765,0,U,8132,999,13781,0,-.14E-6,0
